term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Big Inn,Noun,Production Building - Barbarians,,,,,Голям хан,,,,Hostal Gran,,Velký hostinec,,Storkro,,Gaststätte,,Μεγάλο Πανδοχείο,,,,,,,,,,Gran Posada,Edificio de producción - Bárbaros,,,,,,,,,Grande auberge,,,,,,taigh-seinnse,thaigh-seinnse | taighe-sheinnse | taighean-seinnse | thaighean-seinnse,,,,,,,,,Nagy fogadó,,,,,,,,Locanda grande,,大食堂,,,,,,,,,,caupo,,,,,,,,,,Resturant,,Weertshuus,,Grote herberg,,,,,,Duża karczma,,estalagem,,Grande Hospedaria,,,,Гостиница,,,,,,veľký hostinec,,,,,,Stort värdshus,,,,,,,,大型旅馆,,,
Black Currant,Noun,Immovable - Frisians,,,,,,,,,Riber negre / riba negra,,,,,,Schwarze Johannisbeere,,Μαυροστάφυλο,,,,,,,,,,Grosella Negra,,,,,,,,,Mustaviinimarjapensas,,,,,,,preas dhearcan-dubha,,,,,,,,,,,,,,,,,,,,カシス,,,,,,,,,,,,,,,,,,,,,,Kakelbeei,Plural: Kakelbejen,,,,,,,,,,,,,,,Черная смородина,,,,,,,,,,,,,,,,,,,,,,,
Blackroot,Noun,Ware - Atlanteans,,,,,Черен корен,,,,Negrarrel,,rozrazil,,Rodfrugt,,Dunkelrübe,,Μαυρόριζα,,,,,,,,,,Raíz Negra,Mercancía - Atlantes,,,,,,,,,Racine noire,,,,,,freumhag,freumhag | freumhaige | freumhagan | fhreumhagan,,,,,,,,,Feketegyökér,,,,,,,,Radici nere,,黒根,(元: 甘草) 多分 Pterocaulon を指す。正式な日本語名はヒレハリギク。(https://www.jstage.jst.go.jp/article/weed1962/22/1/22_1_39/_pdf) 中国語だと翼茎草(属)というくくりにはいるっぽい。,,,,,,,,,radix nigra,,,,,,,,,,Svartrot,,Swartwuddels,,Helmkruid,,,,,,Czarny korzeń,,raiz negra,,Raiz Escura,,,,Козелец,(Note: https://wl.widelands.org/forum/topic/605/),,,,,čierny koreň,,,,,,Svartrot,,,,,,,,,,,
Blackroot Farm,Noun,Production Building - Atlanteans,,,,,Ферма за черен корен,,,,Masoveria de negrarrel,,pěstírna rozrazilu,,Rodfrugtlandbrug,,Dunkelrübenfarm,Nach Build 20 umzubenennen in Dunkelrübenhof,Αγρόκτημα Μαυρόριζας,,,,,,,,,,Granja de Raíz Negra,Edificio de producción - Atlantes,,,,,,,,Mustajuuriviljelmä,Ferme de racines noires,,,,,,tuathanas fhreumhagan,thuathanas fhreumhagan | tuathanais fhreumhagan | tuathanasan fhreumhagan | thuathanasan fhreumhagan,,,,,,,,,Feketegyökér farm,,,,,,,,Fattoria di radici nere,,黒根農場,(元: 甘草園),,,,,,,,,,,,,,,,,,,Svartrotgård,,Swartwuddel-Buurderee,,Helmkruidkwekerij,,,,,,Farma czarnych korzeni,,quinta das raízes negras,,Fazenda de Raízes Escuras,,,,Козельцовая ферма,,,,,,čiernokoreňová farma,,,,,,Svartrotsodling,,,,,,,,,,,
Blackroot Farmer,Noun,Worker - Atlanteans,,,,,Фермер на черен корен,,,,Cultivador de negrarrel,,Pěstitel rozrazilu,,Rodfrugtavler,,Dunkelrübenbauer,,Γεωργός Μαυρόριζας,,,,,,,,,,Granjero de Raíz Negra,Trabajador - Atlantes,,,,,,,,Mustajuurenviljelijä,Fermier de racines noires,,,,,,tuathanach fhreumhagan,tuathanach fir. gin. ┐ iol. -aich,,,,,,,,,Feketegyökér termesztő,,,,,,,,Coltivatore di radici nere,,黒根農家,(元: 甘草農夫),,,,,,,,,agricola radicis nigrae,,,,,,,,,,Svartrotbonde,,Swartwuddel-Buur,,Helmkruidkweker,,,,,,Farmer czarnych korzeni,,agricultor das raízes negras,,Fazendeiro de Raízes Escuras,,,,Фермер козельца,,,,,,pestovateľ čierneho koreňa,,,,,,Svartrotsodlare,,,,,,,,,,,
Blackroot Flour,Noun,Ware - Atlanteans,,,,,Брашно от черен корен,,,,Farina de Negrarrel,,drcený rozrazil,,Rodfrugtmel,,Dunkelrübenmehl,,Αλεύρι Μαυρόριζας,,,,,,,,,,Harina de Raíz Negra,Mercancía - Atlantes,,,,,,,,,Racine noire,,,,,,min-fhreumhaige,min boir. gin. -e,,,,,,,,,Feketegyökér liszt,,,,,,,,Farina di radici nere,,黒根粉,(元: 甘草粉),,,,,,,,,farina radicis nigrae,,,,,,,,,,Svartrotmel,,Swartwuddel-Mehl,,Helmkruidbloem,,,,,,Mąka korzenna,,farinha de raiz,,Farinha de Raiz Escura,,,,Козельцовая мука,,,,,,čiernokoreňová múka,,,,,,Svartrotsmjöl,,,,,,,,,,,
Blacksmith,Noun,"Worker - Barbarians, Frisians",,,,,Ковач,,,,Forjador,,kovář,,Smed,,Schmied,,Σιδηρουργός,,,,,,,,,,Herrero,Trabajador - Bárbaro,,,,,,,,Seppä,Forgeron,,,,,,gobha,"gobha fir. gin. -bhainn, iol. goibhnean",,,,,,,,,Kovács,(kovácsműhely lett),,,,,,,Fabbro ferraio,(fabbro?),鍛冶師,(メモ: 鍛冶職人),,,,,,,,,,,,,,,,,,,Grovsmed,,Smidd,,Smid,,,,,,Kowal,,ferreiro,,Ferreiro,,,,Кузнец,,,,,,kováč,,,,,,Smed,,,,,,,,铁匠,,,
Blacksmithy,Noun,Production Building - Frisians,,,,,,,,,Forja,,,,,,Schmiede,,Σιδηρουργείο,,,,,,,,,,Herrería,,,,,,,,,Sepän paja,,,,,,,ceàrdach gobhainn,cheàrdach gobhainn | ceàrdaich gobhainn | cheàrdaich gobhainn | ceàrdaichean gobhainn | cheàrdaichean gobhainn,,,,,,,,,,,,,,,,,,,鍛冶場,,,,,,,,,,,,,,,,,,,,,,Smede,,,,,,,,,,Ferreira,,,,,,Кузня,,,,,,,,,,,,,,,,,,,,,,,
Blackwood,Noun,Ware - Barbarians,,,,,Черно дърво,,,,Fusta endurida,,tvrzené dřevo,,Hårdttræ,,Hartholz,,Πυρόξυλο,,,,,,,,,,Viga,Mercancía - Bárbaros,,,,,,,,,Bois dur,,,,,,fiodh cruaidh,fhiodh cruaidh | fiodha chruaidh | fiodhan cruaidhe | fhiodha chruaidh | fhiodhan cruaidhe,,,,,,,,,Edzett fa,,,,,,,,Legno trattato,,黒材,,,,,,,,,,,,,,,,,,,,Herdet tre,,Haartholt,,Rozenhout,"stdh: I don't associate ""Rozenhout"" with ""sturdy wood"".  Has been in Widelands for a long time, don't know where it comes from.",,,,,Czarne drewno,,madeira queimada,,Madeira Escura,,,,Балка,,,,,,upravené drevo,,,,,,Härdat trä,,,,Чорне дерево,,,,,,木板,
Blockhouse,Noun,Military Building - Empire. Replaces Barracks.,,,,,Блокпост,,,,Barracó,"New ""Barracks"" will be translated as ""Quarter""",Malá pevnost,,Blokhus,,Baracke,zukünftige „Barracks“ werden „Kaserne“ genannt werden,Καταφύγιο,,,,,,,,,,Fortín,"Edifico militar - Imperio. Reemplaza ""Barracks"".",,,,,,,,,Caserne,,,,,,taigh-bloca,thaigh-bloca | taighe-bhloca | taighean-bloca | thaighean-bloca,,,,,,,,,Erődház,,,,,,,,,,兵屋,一人用,,,,,,,,,,,,,,,,,,,,,Wachters-Kamerke,,Blokhuis,,,,,,Ostróg,,blocausse,,,,,,Блокгауз,,,,,,,,,,,,Blockhus,,,,,,,,碉堡,,,
Blueberry Bush,Noun,Immovable - Frisians,,,,,,,,,Nabinera,,,,,,Blaubeerbusch,,Μπλε Βατομουριά,,,,,,,,,,Mata de Arándanos,,,,,,,,,,,,,,,,preas dhearcan-gorma,,,,,,,,,,,,,,,,,,,,ブルーベリー畑,,,,,,,,,,,,,,,,,,,,,,Bickbeei,Pl: Bickbejen,,,,,,,,,,,,,,,Черничный куст,,,,,,,,,,,,,,,,,,,,,,,
Boldreth,Noun,Character - Barbarian (m.),,,,,Болдрет,,,,Boldreth,,,,,,Boldreth,,Μπόλντρεθ,,,,,,,,,,Boldreth,Personaje - Bárbaros (masc.),,,,,,,,,Boldreth,,,,,,Boldrad,,,,,,,,,,Boldreth,,,,,,,,,,ボルドレス,,,,,,,,,,,,,,,,,,,,,,Boldreth,,Boldreth,,,,,,Boldreth,,Bolderano,,,,,,Болдрет,Персонаж - Варвары,,,,,Boldreth,,,,,,Boldreth,,,,,,,,,,,
Borassus Palm,Noun,,,,,,,,,,Palmera de Cambodja,,,,,,Borassuspalme,,Φοινικιά,,,,,,,,,,,,,,,,,,,,Palmier,,,,,,,,,,,,,,,,Palmira-pálma,,,,,,,,Palma Borassus,,,,,,,,,,,,,,,,,,,,,,,,Borassus-Palme,,,,,,,,,,,,,,,,Пальмировая пальма,,,,,,,,,,,,Palmyrapalm,,,,,,,,,,,
Bread,Noun,"Ware - Atlanteans, Empire, Frisians",,,,,Хляб,,,,Pa,,chléb,,Brød,,Brot,,Ψωμί,,,,,,,,,,Pan,"Mercancía - Atlantes, Imperio",,,,,,,,,Pain,,,,,,aran,arain|,,,,,,,,,Kenyér,,,,,,,,Pane,,パン,,,,,,,,,,panis,,,,,,,,,,Brød,,Brood,,Brood,,,,,,Chleb,,pão,,Pão,,,,Хлеб,,,,,,chlieb,,,,,,Bröd,,,,Хліб,,,,面包,,,
Bread Paddle,Noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",,,,,Лопата за хляб,,,,Pala de Forner,,lopata na chléb,,Brødspade,,Brotschieber,,Φτυάρι Φούρνου,,,,,,,,,,Pala de Horno,Mercancía - Herramienta.,,,,,,,,,Pelle à pain,,,,,,crann-arain,chrann-arain | crainn-arain | chrainn-arain,,,,,,,,,Péklapát,,,,,,,,Pala da fornaio,,ピール,(元: パンパドル) 釜内のパンを扱うパドル的な道具,,,,,,,,,,,,,,,,,,,,,Broodschüppe,,Broodschep,,,,,,Łopata do chleba,,pá de forno,,Pá de padeiro,,,,Садник для выпечки,,,,,,pekárska lopata,,,,,,Brödspade,,,,,,,,,,,
Brewer,Noun,"Worker - Barbarians, Empire, Frisians",,,,,Пивовар,,,,Cerveser,,sládek,,Brygger,,Brauer,,Ζυθοποιός,,,,,,,,,,Cervecero,"Trabajador - Bárbaros, Imperio",,,,,,,,,Brasseur,,,,,,leannair,fir. iol. -ean,,,,,,,,,Sörfőző,,,,,,,,Birraio,,醸造師,(元: 醸造職人),,,,,,,,,cervisiae coquus,,,,,,,,,,Brygger,,Broer,,Brouwer,,,,,,Piwowar,,cervejeiro,,Cervejeiro,,,,Пивовар,,,,,,pivovarník,,,,,,Bryggare,,,,,,,,,,,
Brewery,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,Пивоварна,,,,Cerveseria,,pivovar,,Bryggeri,,Brauerei,,Ζυθοποιεία,,,,,,,,,,Cervecería,"Edifico de producción - Bárbaros, Imperio",,,,,,,,,Brasserie,,,,,,taigh-grùide,thaigh-grùide | taighe-ghrùide | taighean-grùide,,,,,,,,,Sörfőzde,,,,,,,,Birreria,,醸造所,(元: 醸造工房),,,,,,,,,fabrica cervisiae,,,,,,,,,,Bryggeri,,Broeree,,Brouwerij,,,,,,Browar,,cervejeira,,Cervejaria,,,,Пивоварня,,,,,,pivovar,,,,,,Bryggeri,,,,,,,,,,,
Brick,Noun,Ware - Frisians,,,,,,,,,Maó,,,,,,Ziegel(stein),,Τούβλο,,,,,,,,,,Ladrillo,,,,,,,,,,brique,,,,,,breige,bhreige | breigichean | bhreigichean,,,,,,,,,,,,,,,,,,,レンガ,,,,,,,,,,,,,,,,,,,,,,Backsteen,,,,,,,,,,Tijolo,,,,,,Кирпич,,,,,,,,,,,,,,,,,,,,,,,
Brick Kiln,Noun,Production Building - Frisians,,,,,,,,,Bòbila,,,,,,Ziegelei,,Κάμινος Τούβλων,,,,,,,,,,Horno de Ladrillos,,,,,,,,,,briqueterie,,,,,,àth bhreigichean,,,,,,,,,,,,,,,,,,,,レンガ焼窯,,,,,,,,,,,,,,,,,,,,,,Backsteenbranneree,,,,,,,,,,Fábrica de Tijolos,,,,,,Печь для обжига кирпича,,,,,,,,,,,,,,,,,,,,,,,
Brickmaker,Noun,Worker - Frisians,,,,,,,,,Artesà de maons,,,,,,Ziegler,,Τουβλοποιός,,,,,,,,,,Productor de Ladrillos,,,,,,,,,,briquetier,,,,,,fear nam breigichean,fhear nam breigichean | fir nam breigichean | fhir nam breigichean,,,,,,,,,,,,,,,,,,,レンガ職人,,,,,,,,,,,,,,,,,,,,,,Backsteenbranner,,,,,,,,,,Artesão de Tijolos,,,,,,Кирпичник,,,,,,,,,,,,,,,,,,,,,,,
Briefing,Noun,Scenario - The Green Plateau,,,,,Инструктаж,,,,Informe,,,,,,Beratung,,Σύσκεψη,,,,,,,,,,Instrucciones,Escenario - La Meseta Verde,,,,,,,,,Réunion,,,,,,brath-ullachaidh,bhrath-ullachaidh |,,,,,,,,,Eligazítás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Körte Instruksje,,,,,,,,,,instruções,,Sumário,,,,Инструктаж,,,,,,inštruktáž,,,,,,Genomgång,,,,,,,,,,,
Broad Ax,Noun,Ware - Weapon - Barbarians,,,,,Широка брадва,,,,Destral Ampla,,Široká sekera,,Bredøkse,,Breitaxt,,Πλατύς Πέλεκυς,,,,,,,,,,Hacha Ancha,,,,,,,,,,Grande hache,"broad meens large in french, as larger, what is the best ? large or grande, wich is big or tall...  Broad question, isn't it ?",,,,,tuagh mhòr,thuagh mhòr | tuaighe mòr | tuaghan mòra | thuaghan mòra,,,,,,,,,Nagy fejsze,,,,,,,,Ascia larga,,幅広斧,(元: ブロードアックス),,,,,,,,,,,,,,,,,,,Bred øks,,Brede Ext,,Brede Bijl,,,,,,Szeroki topór,,machado largo,,Machado largo,,,,Секира,,,,,,široká sekera,,,,,,Bredyxa,,,,Широка сокира,,,,,,,
Broadsword,Noun,Ware - Weapon - Frisians,,,,,,,,,Sabre,,,,,,Breitschwert,,Πλατύσπαθο,,,,,,,,,,Espada de una mano,,,,,,,,,,,,,,,,claidheamh-leathann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bredes Sweert,,,,,,,,,,Sabre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Ax,Noun,Ware - Weapon - Barbarians,,,,,Бронзова брадва,,,,Destral de Bronze,,bronzová sekera,,Bronzeøkse,,Bronzeaxt,,Χάλκινος Πέλεκυς,,,,,,,,,,Hacha de Bronce,,,,,,,,,,Hache de bronze,,,,,,tuagh umha,thuagh umha | tuaighe umha | tuaghan umha | thuaghan umha,,,,,,,,,Bronz fejsze,(esetleg valamelyik szekerce?),,,,,,,Ascia di bronzo,,青銅斧,(元: ブロンズアックス),,,,,,,,,,,,,,,,,,,Bronseøks,,Koperext,,Bronzen Bijl,,,,,,Topór z brązu,,machado de bronze,,Machado de Bronze,,,,Бронзовый топор,,,,,,bronzová sekera,,,,,,Bronsyxa,,,,Бронзова сокира,,,,,,,
Buckets,Noun,Ware - Tool - Atlanteans,,,,,Кофи,,,,Poals,,kýble,,Spande,,Eimer,,Κουβάδες,,,,,,,,,,Cubos,,,,,,,,,,Seaux,,,,,,peilichean,,,,,,,,,,Vödrök,,,,,,,,Secchi,,バケツ,,,,,,,,,,situlae,sg. situla,,,,,,,,,Bøtter,,Emmers,,Emmers,,,,,,Wiadra,,baldes,,Baldes,,,,Вёдра,,,,,,vedrá,,,,,,Hinkar,,,,,,,,,,,
Builder,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Строител,,,,Constructor,,stavitel,,Byggearbejder,,Bauarbeiter,,Χτίστης,,,,,,,,,,Constructor,,,,,,,,,,Bâtisseur,,,,,,fear-togail,fhear-togail | fhir-thogail | fir-thogail | luchd-togail,,,,,,,,,Építész,,,,,,,,Costruttore,,建築者,(元: 建築人),,,,,,,,,"faber architectus (or) structor, is",,,,,,,,,,Bygger,,Baukeerl,,Bouwvakker,,,,,,Budowniczy,,construtor,,Construtor,,,,Строитель,,,,,,stavbár,,,,,,Byggare,,,,,,,,,,,
Building Space,Noun,,,,,,,,,,Espai per Construir,,Místo ke stavění,,Byggeplads,,Bauplatz,,Οικοδομήσιμη Έκταση,,,,,,,,,,Zona de Construcción,,,,,,,,,,Espace de construction,,,,,,ionad togail,ionadan togail |,,,,,,,,,Építési hely,,,,,,,,Spazio edificabile,,,,,,,,,,,,,,,,,,,,,,,,Rüümte tum Bauen,,Bouwlocatie,,,,,,,,terreno para construção,,Espaço de construção,,,,Место строительства,,,,,,stavebné miesto,,,,,,Byggnadsyta,,,,,,,,,,,
Building Statistics,Noun,GUI,,,,,Статистики за сградите,,,,Estadístiques d'Edificis,,stavební statistiky,,Bygningsstatistik,,Gebäudestatistik,,Στατιστικά Κτιρίων,,,,,,,,,,Estadísticas de Construcción,,,,,,,,,,Statistiques des bâtiments,,,,,,stadastaireachd nan togalach,boir. neo-ath.,,,,,,,,,Épületstatisztika,,,,,,,,Statistiche sugli edifici,,建物統計,,,,,,,,,,,,,,,,,,,,,,Tahlen över Husen,,Gebouwstatistieken,,,,,,Statystyki budynków,,estatísticas dos edifícios,,Estatísticas dos Edifícios,,,,Статистика построек,,,,,,Štatistika budov,,,,,,Byggnadsstatistik,,,,,,,,,,,
Carpenter,Noun,Worker - Empire,,,,,Дърводелец,,,,Fuster,,tesař,,Tømrer,,Zimmermann,,Ξυλουργός,,,,,,,,,,Carpintero,,,,,,,,,,Charpentier,,,,,,sàbhadair,shàbhadair | sàbhadairean | shàbhadairean,,,,,,,,,Ács,,,,,,,,Carpentiere,,大工,,,,,,,,,,,,,,,,,,,,,,Diskler,,Houtbewerker,,,,,,,,carpinteiro,,Carpinteiro,,,,плотник,,,,,,,,,,,,Snickare,,,,Тесля,,,,,,,
Carrier,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Носач,,,,Transportista,,nosič,,Bærer,,Träger,,Μεταφορέας,,,,,,,,,,Transportista,Trabajador,,,,,,,,,Porteur,,,,,,giùlanair,ghiùlanair | giùlanairean | ghiùlanairean,,,,,,,,,Hordár,,,,,,,,Portatore,,運び手,(元: 運搬人),,,,,,,,,portator,,,,,,,,,,Bærer,,Lastendrager,,Drager,,,,,,Tragarz,,carregador,,Transportador,,,,Носильщик,,,,,,nosič,,,,,,Bärare,,,,,,,,,,,
Castle,Noun,"Military Building - Atlanteans, Empire",,,,,Замък,,,,Castell,,hrad,,Borg,,Burg,,Κάστρο,,,,,,,,,,Castillo,"Edificio Militar - Atlantean, Imperio",,,,,,,,,Château,,,,,,caisteal,chaisteal|caisteil | chaisteil | caistealan |chaistealan,,,,,,,,,Vár,,,,,,,,Castello,,城,(元: 城郭),,,,,,,,,,,,,,,,,,,Slott,,Slött,,Kasteel,,,,,,Zamek,,castelo,,Castelo,,,,Замок,,,,,,hrad,,,,,,Slott,,,,Замок,,,,,,,
Cattle Breeder,Noun,Worker - Barbarians,,,,,Говедар,,,,Criador de bous,,chovatel dobytka,,Kvægavler,,Rinderzüchter,,Βουτρόφος,,,,,,,,,,Criador de Ganado,,,,,,,,,,Éleveur de bétail,,,,,,buachaille,fir. iol. -ean,,,,,,,,,Gulyás,,,,,,,,Allevatore di bovini,,牛飼い,,,,,,,,,,bubulcus,,,,,,,,,,Kvegoppdretter,,Ossentüchter,,Ossenfokker,,,,,,Hodowca bydła,,criador de bois,,Fazendeiro de bois,,,,Скотовод,,,,,,chovateľ dobytka,,,,,,Boskapsuppfödare,,,,Скотар,,,,,,,
Cattle Farm,Noun,Production Building - Barbarians,,,,,Ферма за говеда,,,,Granja de bous,,Statek,,Kvægbrug,,Rinderzucht,,Βουστάσιο,,,,,,,,,,Granja de Bueyes,,,,,,,,,Karjatila,Ferme à bétail,,,,,,taigh-buaile,thaigh-buaile | taighe-bhuaile | thaighe-bhuaile | taighean-buaile | thaighean-buaile,,,,,,,,,Marhafarm,,,,,,,,Allevamento di bovini,,牛牧場,,,,,,,,,,bubile,,,,,,,,,,Kvegfarm,,Ossentüchteree,,Ossenstal,"formerly: ""Veeboerderij""",,,,,Farma bydła,,criação de bois,,Fazenda de Bois,,,,Скотный Двор,,,,,,kravín,,,,,,Boskapsgård,,,,,,,,,,,
Chain Armor,Noun,Ware - Armor - Empire,,,,,Ризница,,,,Cota de Malla,,kroužková zbroj,,Kæderustning,,Kettenhemd,,Αλυσιδωτή Πανοπλία,,,,,,,,,,Cota de Malla,Mercancía - Armadura - Imperio,,,,,,,,,Cotte de mailles,,,,,,màilleach,mhàilleach | màillich | màillichean | mhàillichean,,,,,,,,,Lánc páncél,,,,,,,,Armatura di maglia,,チェインアーマー,,,,,,,,,,lorica serta,,,,,,,,,,Ringbrynje,,Stahl-Wapenrock,,Maliënkolder,,,,,,Kolczuga,,cota de malha,,Armadura-de-malha,,,,Кольчуга,,,,,,krúžková zbroj,,,,,,Nätbrynja,,,,,,,,,,,
Charcoal Burner,Noun,"Worker - Atlanteans, Barbarians. Empire, Frisians",,,,,Въглищар,,,,Carboner,,uhlíř,,Trækulsbrænder,,Köhler,,Καυστήρας Ξυλάνθρακα,,,,,,,,,,Quemador de Carbón,,,,,,,,,,Charbonnier,,,,,,loisgeadair fiodha,fir. iol. -ean,,,שורף,"Might needs fixing - this is the old translation for ""Burner"" from Build 18.",,,,,Faszénégető,,,,,,,,Carbonaia,,炭焼き職人,,,,,,,,,,carbonarius,,,,,,,,,,Kullbrenner,,Holtköhlbranner,,Houtskoolbrander,,,,,,Węglarz,,carvoeiro,,Carvoeiro,,,,Углежог,,,,,,uhliar,,,,,,Kolare,,,,,,,,,,,
Charcoal Kiln,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Пещ за въглища,,,,Kiln de Carbó,,milíř na dřevěné uhlí,,Trækulsovn,,Köhlerei,,Κάμινος Ξυλάνθρακα,,,,,,,,,,Fosa de Carbonización,,,,,,,,,Miilu,Four à charbon,,,,,,sloc guail-fhiodha,sluic guail-fhiodha | slocan guail-fhiodha,Casa do queimador de carbón,"Needs fixing - this is the old translation for ""Charcoal Burner's House from Build 18.",שורף פחם,"Probably needs fixing - this is the old translation for ""Charcoal Burner's House"" from Build 18.",,,,,Faszénégető kemence,,,,,,,,Carbonaia,,炭焼き小屋,"Probably needs fixing - this is the old translation for ""Charcoal Burner's House"" from Build 18.",,,,,,,,,,,,,,,,,,,kullbrenners hus,"Probably needs fixing - this is the old translation for ""Charcoal Burner's House"" from Build 18.",Holtköhl-Branneree,,Houtskoolmeiler,stdh: This is the actual name of the pile of wood.  Maybe too obscure?,Kolbrennarhuset,"Probably needs fixing - this is the old translation for ""Charcoal Burner's House"" from Build 18.",,,Smolarnia,,forno de carvão,,Casa do carvoeiro,,,,Печь углежога,,,,,,uhliarska pec,,,,,,Kolmila,,,,Будиночок випалювача углю,"Probably needs fixing - this is the old translation for ""Charcoal Burner's House"" from Build 18.",,,,,,
Chat’Karuth,Noun,Character - Barbarians,,,,,Чат'Карут,,,,Chat'Karuth,,,,Chat'Karuth,,Chat’Karuth,,Τσατ'Καρούθ,,,,,,,,,,Chat'Karuth,Personaje - Bárbaros,,,,,,,,,Chat’Karuth,,,,,,Cat’Charud,Chat’Charuid |,,,,,,,,,Chat’Karuth,,,,,,,,,,チャト-カルース,,,,,,,,,,,,,,,,,,,,,,Schatt-Karut,,Chat'Karuth,,,,,,,,Chat’Karuth,,,,,,Чат'Карут,Персонаж - Варвар,,,,,Chat’Karuth,,,,,,Chat’Karuth,,,,,,,,,,,
Chief Miner,Noun,Worker - Barbarians,,,,,Началник миньор,,,,Miner en Cap,,vrchní horník,,Ledende minearbejder,,Steiger,,Αρχιμεταλλωρύχος,,,,,,,,,,Jefe de Mina,Trabajador - Bárbaros,,,,,,,,,Chef mineur,,,,,,àrd-mhèinnear,"fir. gin. -eir, iol. -an",,,,,,,,,Főbányász,,,,,,,,Capo minatore,,鉱夫長,,,,,,,,,,fossor metallicus expertior,,,,,,,,,,,,Künniger Bargwarkskeerl,,Hoofdmijnwerker,,,,,,Sztygar,,mineiro chefe,,Mineiro-chefe,,,,Главный шахтер,,,,,,hlavný baník,,,,,,Gruvledare,,,,Головний шахтар,,,,,,,
Chieftain,Noun,Scenario term. Tribal leader of the Barbarians,,,,,Вожд,,,,Cap del Clan,,,,Kaptajn,,Stammesfürst oder Häuptling,,Φύλαρχος,,,,,,,,,,Caudillo,Término de escenario. Líder tribal de los Bárbaros,,,,,,,,,Chef de tribu,,,,,,ceannard,cheannard | ceannaird | cheannaird | ceannardan | cheannardan,,,,,,,,,Törzsfőnök,,,,,,,,Capoclan,,,,,,,,,,,,,,,,,,,,,,,,Anföhrer,,,,,,,,Wódz,,Grande-chefe,,Cacique,,,,Вождь,,,,,,náčelník,,,,,,Hövding,,,,,,,,,,,
Cirrus tree,Noun,,,,,,Пересто дърво,,,,Cirrus,,,,Krøltræ,,Rankenbaum,,Ελικόδεντρο,,,,,,,,,,,What is this? Maybe a typo (Citrus)??,,,,,,,,,Sapin,,,,,,,,,,,,,,,,Paszuly,,,,,,,,,,サーラス,架空の木らしい,,,,,,,,,,,,,,,,,,,,,Rankenboom,,,,,,,,,,,,,,,,скрутка,,,,,,,,,,,,Pelarkaktus,,,,,,,,,,,
Citadel,Noun,Military Building - Barbarians,,,,,Цитадела,,,,Ciutadella,,Tvrz,,Kastel,,Zitadelle,,Ακρόπολη,,,,,,,,,,Ciudadela,,,,,,,,,,Citadelle,,,,,,cathair,chathair | cathrach | cathraichean | chathraichean,,,,,,,,,Fellegvár,,,,,,,,Cittadella,,城塞,,,,,,,,,,,,,,,,,,,,Festning,"(Simply use ""Citadel"" instead?)",Kasteel,,Citadel,,,,,,Cytadela,,cidadela,,Cidadela,,,,Цитадель,,,,,,citadela,,,,,,Citadell,,,,Цитадель,,,,,,,
Clay,Noun,Ware - Frisians,,,,,,,,,Argila,,,,,,Lehm,,Πηλός,,,,,,,,,,Arcilla,,,,,,,,,,argile,,,,,,criadh,chriadh | criadha,,,,,,,,,,,,,,,,,,,粘土,,,,,,,,,,,,,,,,,,,,,,Lehm,,,,,,,,,,Argila,,,,,,Глина,,,,,,,,,,,,,,,,,,,,,,,
